var_from,var_to,corr
Vitamin B6 (mg),Dietary fiber (gm),0.5619
SFA 14:0 (Tetradecanoic) (gm),Dietary fiber (gm),0.3717
Albumin (g/L),Dietary fiber (gm),0.0774
Phosphorus (mmol/L),Dietary fiber (gm),0.026
SFA 4:0 (Butanoic) (gm),Dietary fiber (gm),0.2506
Lymphocyte percent (%),Dietary fiber (gm),-0.0366
"Albumin, urine (mg/L)",Dietary fiber (gm),-0.12
"Vitamin A, RAE (mcg)",Dietary fiber (gm),0.3802
PFA 18:2 (Octadecadienoic) (gm),Dietary fiber (gm),0.5772
Total protein (g/L),Dietary fiber (gm),0.021
SFA 10:0 (Decanoic) (gm),Dietary fiber (gm),0.3115
MFA 20:1 (Eicosenoic) (gm),Dietary fiber (gm),0.3891
Retinol (mcg),Total folate (mcg),0.4114
SFA 4:0 (Butanoic) (gm),Total folate (mcg),0.3516
"Vitamin A, RAE (mcg)",Total folate (mcg),0.4785
MFA 20:1 (Eicosenoic) (gm),Total folate (mcg),0.3536
Segmented neutrophils percent (%),Total folate (mcg),0.039
Lutein + zeaxanthin (mcg),Total folate (mcg),0.414
Total sugars (gm),Total folate (mcg),0.3094
PFA 22:5 (Docosapentaenoic) (gm),Total folate (mcg),0.196
Protein (gm),Total folate (mcg),0.6317
Phosphorus (mmol/L),Total folate (mcg),0.0428
Total fat (gm),Total folate (mcg),0.575
Zinc (mg),Total folate (mcg),0.724
Iron (mg),Total folate (mcg),0.8535
Vitamin K (mcg),Total folate (mcg),0.4306
Cholesterol (mmol/L),Total folate (mcg),0.0033
Niacin (mg),Total folate (mcg),0.6586
Theobromine (mg),Total folate (mcg),0.1135
PFA 18:3 (Octadecatrienoic) (gm),Total folate (mcg),0.488
Hematocrit (%),Total folate (mcg),0.1296
SFA 12:0 (Dodecanoic) (gm),Total folate (mcg),0.4107
Total monounsaturated fatty acids (gm),Total folate (mcg),0.5485
Vitamin B6 (mg),Total folate (mcg),0.6239
"Albumin, urine (mg/L)",Total folate (mcg),-0.0894
Albumin (g/L),Total folate (mcg),0.102
Moisture (gm),Total folate (mcg),0.319
SFA 8:0 (Octanoic) (gm),Total folate (mcg),0.3626
PFA 18:4 (Octadecatetraenoic) (gm),Total folate (mcg),0.1099
SFA 6:0 (Hexanoic) (gm),Total folate (mcg),0.3199
Uric acid (umol/L),Total folate (mcg),0.0126
SFA 16:0 (Hexadecanoic) (gm),Total folate (mcg),0.5753
Total calcium (mmol/L),Total folate (mcg),0.0411
Vitamin C (mg),Total folate (mcg),0.2952
Energy (kcal),Total folate (mcg),0.637
Hemoglobin (g/dL),Total folate (mcg),0.1263
Lymphocyte number (1000 cells/uL),Total folate (mcg),-0.0369
Platelet count (1000 cells/uL),Total folate (mcg),-0.103
Total saturated fatty acids (gm),Total folate (mcg),0.5741
"Iron, refrigerated serum  (umol/L)",Total folate (mcg),0.0673
"Triglycerides, refrigerated  (mmol/L)",Total folate (mcg),0.0797
SFA 14:0 (Tetradecanoic) (gm),Total folate (mcg),0.4926
MFA 16:1 (Hexadecenoic) (gm),Total folate (mcg),0.4293
PFA 20:5 (Eicosapentaenoic) (gm),Total folate (mcg),0.2769
Alkaline phosphatase (IU/L),Total folate (mcg),0.1067
Alanine aminotransferase ALT (U/L),Total folate (mcg),0.1298
"Cotinine, Serum (ng/mL)",Total folate (mcg),-0.087
Phosphorus (mg),Total folate (mcg),0.712
MFA 22:1 (Docosenoic) (gm),Total folate (mcg),0.1087
Aspartate aminotransferase AST (U/L),Total folate (mcg),0.1879
Monocyte percent (%),Total folate (mcg),-0.0231
PFA 18:2 (Octadecadienoic) (gm),Total folate (mcg),0.4838
PFA 20:4 (Eicosatetraenoic) (gm),Total folate (mcg),0.1561
SFA 10:0 (Decanoic) (gm),Total folate (mcg),0.4119
Creatinine (umol/L),Total folate (mcg),0.08
Lactate dehydrogenase (U/L),Total folate (mcg),0.0904
Mean cell volume (fL),Total folate (mcg),-0.0259
Gamma glutamyl transferase (U/L),Total folate (mcg),0.0783
"Glucose, refrigerated serum (mmol/L)",Total folate (mcg),-9e-04
Thiamin (Vitamin B1) (mg),Total folate (mcg),0.849
Mean platelet volume (fL),Total folate (mcg),-0.0819
Red cell distribution width (%),Total folate (mcg),-0.023
Mean cell hemoglobin (pg),Total folate (mcg),-0.007
Segmented neutrophils num (1000 cell/uL),Total folate (mcg),0.018
Magnesium (mg),Total folate (mcg),0.7109
Total protein (g/L),Total folate (mcg),0.0319
Monocyte number (1000 cells/uL),Total folate (mcg),-0.0026
Selenium (mcg),Total folate (mcg),0.6453
Chloride (mmol/L),Total folate (mcg),-0.1842
MFA 18:1 (Octadecenoic) (gm),Total folate (mcg),0.5427
Eosinophils percent (%),Total folate (mcg),0.0947
PFA 22:6 (Docosahexaenoic) (gm),Total folate (mcg),0.1331
Eosinophils number (1000 cells/uL),Total folate (mcg),0.0574
Sodium (mmol/L),Total folate (mcg),-0.0325
Total polyunsaturated fatty acids (gm),Total folate (mcg),0.4908
SFA 18:0 (Octadecanoic) (gm),Total folate (mcg),0.523
Lymphocyte percent (%),Total folate (mcg),-0.0355
White blood cell count (1000 cells/uL),Total folate (mcg),5e-04
Osmolality (mmol/Kg),Total folate (mcg),0.0097
Blood urea nitrogen (mmol/L),Total folate (mcg),0.1238
Glycohemoglobin (%),Total folate (mcg),0.0205
Bicarbonate (mmol/L),Total folate (mcg),0.2366
Basophils percent (%),Total folate (mcg),0.0534
Sodium (mg),Total folate (mcg),0.6513
Riboflavin (Vitamin B2) (mg),Total folate (mcg),0.7484
Total bilirubin (umol/L),Total folate (mcg),-0.0225
Potassium (mg),Total folate (mcg),0.6303
Basophils number (1000 cells/uL),Total folate (mcg),-0.0344
Vitamin B12 (mcg),Total folate (mcg),0.3951
Red blood cell count (million cells/uL),Total folate (mcg),0.1426
Globulin (g/L),Total folate (mcg),-0.0458
Potassium (mmol/L),Total folate (mcg),0.0647
Lycopene (mcg),Total folate (mcg),0.2756
Vitamin C (mg),Iron (mg),0.2821
Sodium (mg),Iron (mg),0.705
Magnesium (mg),Iron (mg),0.7396
Total monounsaturated fatty acids (gm),Iron (mg),0.6481
Moisture (gm),Iron (mg),0.3041
"Cotinine, Serum (ng/mL)",Iron (mg),-0.0595
Sodium (mmol/L),Iron (mg),-0.0423
"Glucose, refrigerated serum (mmol/L)",Iron (mg),0.0296
Platelet count (1000 cells/uL),Iron (mg),-0.083
Uric acid (umol/L),Iron (mg),0.0407
Lutein + zeaxanthin (mcg),Iron (mg),0.3719
SFA 18:0 (Octadecanoic) (gm),Iron (mg),0.5759
Segmented neutrophils percent (%),Iron (mg),0.0611
Red blood cell count (million cells/uL),Iron (mg),0.1462
Albumin (g/L),Iron (mg),0.1238
Potassium (mg),Iron (mg),0.6655
Lymphocyte percent (%),Iron (mg),-0.0508
Total sugars (gm),Iron (mg),0.4087
Hematocrit (%),Iron (mg),0.1574
SFA 12:0 (Dodecanoic) (gm),Iron (mg),0.3541
White blood cell count (1000 cells/uL),Iron (mg),0.013
"Albumin, urine (mg/L)",Iron (mg),-0.0709
Blood urea nitrogen (mmol/L),Iron (mg),0.1291
Basophils number (1000 cells/uL),Iron (mg),-0.0595
Total polyunsaturated fatty acids (gm),Iron (mg),0.5456
Eosinophils percent (%),Iron (mg),0.0916
SFA 10:0 (Decanoic) (gm),Iron (mg),0.3627
Theobromine (mg),Iron (mg),0.1524
Selenium (mcg),Iron (mg),0.6872
PFA 22:5 (Docosapentaenoic) (gm),Iron (mg),0.2433
PFA 22:6 (Docosahexaenoic) (gm),Iron (mg),0.1577
PFA 18:2 (Octadecadienoic) (gm),Iron (mg),0.5403
Creatinine (umol/L),Iron (mg),0.1319
Hemoglobin (g/dL),Iron (mg),0.1569
SFA 4:0 (Butanoic) (gm),Iron (mg),0.2967
Thiamin (Vitamin B1) (mg),Iron (mg),0.8687
Vitamin B6 (mg),Iron (mg),0.7006
Globulin (g/L),Iron (mg),-0.0624
Eosinophils number (1000 cells/uL),Iron (mg),0.0421
PFA 18:3 (Octadecatrienoic) (gm),Iron (mg),0.4875
Total fat (gm),Iron (mg),0.6505
Riboflavin (Vitamin B2) (mg),Iron (mg),0.7605
SFA 16:0 (Hexadecanoic) (gm),Iron (mg),0.6335
Total calcium (mmol/L),Iron (mg),0.0668
Mean cell volume (fL),Iron (mg),0.011
"Vitamin A, RAE (mcg)",Iron (mg),0.4536
Glycohemoglobin (%),Iron (mg),0.0106
Segmented neutrophils num (1000 cell/uL),Iron (mg),0.0362
Gamma glutamyl transferase (U/L),Iron (mg),0.065
Niacin (mg),Iron (mg),0.7606
Alanine aminotransferase ALT (U/L),Iron (mg),0.1117
Osmolality (mmol/Kg),Iron (mg),0.0024
SFA 14:0 (Tetradecanoic) (gm),Iron (mg),0.4549
Mean cell hemoglobin (pg),Iron (mg),0.0303
MFA 20:1 (Eicosenoic) (gm),Iron (mg),0.4226
Alkaline phosphatase (IU/L),Iron (mg),0.1108
Cholesterol (mmol/L),Iron (mg),-0.0163
Phosphorus (mg),Iron (mg),0.7569
Total protein (g/L),Iron (mg),0.0315
Red cell distribution width (%),Iron (mg),-0.0377
Potassium (mmol/L),Iron (mg),0.0061
Retinol (mcg),Iron (mg),0.3974
SFA 6:0 (Hexanoic) (gm),Iron (mg),0.2647
Phosphorus (mmol/L),Iron (mg),0.0176
Monocyte number (1000 cells/uL),Iron (mg),-0.016
Lymphocyte number (1000 cells/uL),Iron (mg),-0.0394
Basophils percent (%),Iron (mg),0.0033
Chloride (mmol/L),Iron (mg),-0.2497
Monocyte percent (%),Iron (mg),-0.0536
MFA 18:1 (Octadecenoic) (gm),Iron (mg),0.6303
MFA 22:1 (Docosenoic) (gm),Iron (mg),0.1261
Mean platelet volume (fL),Iron (mg),-0.0948
Protein (gm),Iron (mg),0.7121
Zinc (mg),Iron (mg),0.8004
Aspartate aminotransferase AST (U/L),Iron (mg),0.1808
"Triglycerides, refrigerated  (mmol/L)",Iron (mg),0.0755
Total bilirubin (umol/L),Iron (mg),-0.0064
Energy (kcal),Iron (mg),0.7341
Vitamin B12 (mcg),Iron (mg),0.4344
PFA 20:4 (Eicosatetraenoic) (gm),Iron (mg),0.2691
Vitamin K (mcg),Iron (mg),0.4123
PFA 18:4 (Octadecatetraenoic) (gm),Iron (mg),0.1201
Lactate dehydrogenase (U/L),Iron (mg),0.0742
SFA 8:0 (Octanoic) (gm),Iron (mg),0.3051
Total saturated fatty acids (gm),Iron (mg),0.6141
Lycopene (mcg),Iron (mg),0.2311
Bicarbonate (mmol/L),Iron (mg),0.2564
MFA 16:1 (Hexadecenoic) (gm),Iron (mg),0.5144
PFA 20:5 (Eicosapentaenoic) (gm),Iron (mg),0.2815
"Iron, refrigerated serum  (umol/L)",Iron (mg),0.0978
Bicarbonate (mmol/L),Energy (kcal),0.2371
Lymphocyte percent (%),Energy (kcal),-0.0219
SFA 16:0 (Hexadecanoic) (gm),Energy (kcal),0.8502
Globulin (g/L),Energy (kcal),-0.1018
Magnesium (mg),Energy (kcal),0.7813
Segmented neutrophils percent (%),Energy (kcal),0.0251
Chloride (mmol/L),Energy (kcal),-0.1531
Potassium (mg),Energy (kcal),0.7684
Total bilirubin (umol/L),Energy (kcal),0.066
Sodium (mg),Energy (kcal),0.8412
Phosphorus (mg),Energy (kcal),0.8244
SFA 4:0 (Butanoic) (gm),Energy (kcal),0.3013
MFA 20:1 (Eicosenoic) (gm),Energy (kcal),0.5774
Total calcium (mmol/L),Energy (kcal),0.0446
SFA 18:0 (Octadecanoic) (gm),Energy (kcal),0.7753
Glycohemoglobin (%),Energy (kcal),-0.0542
Hematocrit (%),Energy (kcal),0.2622
PFA 18:4 (Octadecatetraenoic) (gm),Energy (kcal),0.2167
Basophils percent (%),Energy (kcal),-0.0375
Lutein + zeaxanthin (mcg),Energy (kcal),0.2892
Retinol (mcg),Energy (kcal),0.2816
White blood cell count (1000 cells/uL),Energy (kcal),0.0131
Mean cell volume (fL),Energy (kcal),0.0647
"Triglycerides, refrigerated  (mmol/L)",Energy (kcal),0.0725
SFA 14:0 (Tetradecanoic) (gm),Energy (kcal),0.5998
Zinc (mg),Energy (kcal),0.7274
Lymphocyte number (1000 cells/uL),Energy (kcal),-0.0083
"Cotinine, Serum (ng/mL)",Energy (kcal),0.0894
Total polyunsaturated fatty acids (gm),Energy (kcal),0.759
Alkaline phosphatase (IU/L),Energy (kcal),0.0698
Monocyte number (1000 cells/uL),Energy (kcal),0.0261
Eosinophils percent (%),Energy (kcal),0.0977
PFA 18:2 (Octadecadienoic) (gm),Energy (kcal),0.7504
Theobromine (mg),Energy (kcal),0.2482
SFA 8:0 (Octanoic) (gm),Energy (kcal),0.4323
Albumin (g/L),Energy (kcal),0.128
Basophils number (1000 cells/uL),Energy (kcal),-0.0626
Thiamin (Vitamin B1) (mg),Energy (kcal),0.7198
Aspartate aminotransferase AST (U/L),Energy (kcal),0.1571
Red cell distribution width (%),Energy (kcal),-0.1101
Lactate dehydrogenase (U/L),Energy (kcal),0.0079
Cholesterol (mmol/L),Energy (kcal),-0.0462
Mean cell hemoglobin (pg),Energy (kcal),0.0806
Alanine aminotransferase ALT (U/L),Energy (kcal),0.1641
Moisture (gm),Energy (kcal),0.4154
Sodium (mmol/L),Energy (kcal),-0.0024
Total monounsaturated fatty acids (gm),Energy (kcal),0.8749
"Glucose, refrigerated serum (mmol/L)",Energy (kcal),-0.0036
Mean platelet volume (fL),Energy (kcal),-0.043
Blood urea nitrogen (mmol/L),Energy (kcal),0.0776
Monocyte percent (%),Energy (kcal),-0.0041
MFA 16:1 (Hexadecenoic) (gm),Energy (kcal),0.6679
Phosphorus (mmol/L),Energy (kcal),-0.0478
Lycopene (mcg),Energy (kcal),0.1819
Total protein (g/L),Energy (kcal),-0.0127
Platelet count (1000 cells/uL),Energy (kcal),-0.117
PFA 18:3 (Octadecatrienoic) (gm),Energy (kcal),0.6859
"Iron, refrigerated serum  (umol/L)",Energy (kcal),0.0989
Riboflavin (Vitamin B2) (mg),Energy (kcal),0.6825
Vitamin B12 (mcg),Energy (kcal),0.3655
Segmented neutrophils num (1000 cell/uL),Energy (kcal),0.0191
MFA 18:1 (Octadecenoic) (gm),Energy (kcal),0.8682
Hemoglobin (g/dL),Energy (kcal),0.2557
PFA 20:4 (Eicosatetraenoic) (gm),Energy (kcal),0.3916
"Albumin, urine (mg/L)",Energy (kcal),-0.1446
PFA 22:5 (Docosapentaenoic) (gm),Energy (kcal),0.298
Eosinophils number (1000 cells/uL),Energy (kcal),0.092
PFA 22:6 (Docosahexaenoic) (gm),Energy (kcal),0.2763
Osmolality (mmol/Kg),Energy (kcal),0.019
Red blood cell count (million cells/uL),Energy (kcal),0.2142
PFA 20:5 (Eicosapentaenoic) (gm),Energy (kcal),0.3154
Protein (gm),Energy (kcal),0.8008
Niacin (mg),Energy (kcal),0.7276
Total saturated fatty acids (gm),Energy (kcal),0.8306
Total sugars (gm),Energy (kcal),0.6866
Potassium (mmol/L),Energy (kcal),0.0173
"Vitamin A, RAE (mcg)",Energy (kcal),0.3401
SFA 12:0 (Dodecanoic) (gm),Energy (kcal),0.4837
SFA 6:0 (Hexanoic) (gm),Energy (kcal),0.3311
Uric acid (umol/L),Energy (kcal),0.1218
Creatinine (umol/L),Energy (kcal),0.226
Total fat (gm),Energy (kcal),0.9007
Vitamin B6 (mg),Energy (kcal),0.5997
MFA 22:1 (Docosenoic) (gm),Energy (kcal),0.2773
Vitamin C (mg),Energy (kcal),0.2178
SFA 10:0 (Decanoic) (gm),Energy (kcal),0.4833
Selenium (mcg),Energy (kcal),0.7753
Vitamin K (mcg),Energy (kcal),0.4822
Gamma glutamyl transferase (U/L),Energy (kcal),0.1115
"Glucose, refrigerated serum (mmol/L)",Lycopene (mcg),0.007
Magnesium (mg),Lycopene (mcg),0.1981
Hematocrit (%),Lycopene (mcg),-0.0393
Segmented neutrophils num (1000 cell/uL),Lycopene (mcg),0.0219
Zinc (mg),Lycopene (mcg),0.1868
Total calcium (mmol/L),Lycopene (mcg),0.1014
Retinol (mcg),Lycopene (mcg),0.1116
Lutein + zeaxanthin (mcg),Lycopene (mcg),0.2016
Chloride (mmol/L),Lycopene (mcg),-0.0334
Lymphocyte percent (%),Lycopene (mcg),-0.0184
Alanine aminotransferase ALT (U/L),Lycopene (mcg),0.005
Total polyunsaturated fatty acids (gm),Lycopene (mcg),0.2335
"Cotinine, Serum (ng/mL)",Lycopene (mcg),-0.1426
PFA 18:4 (Octadecatetraenoic) (gm),Lycopene (mcg),0.1151
Blood urea nitrogen (mmol/L),Lycopene (mcg),0.0063
Moisture (gm),Lycopene (mcg),0.0953
Mean platelet volume (fL),Lycopene (mcg),0.0523
Total bilirubin (umol/L),Lycopene (mcg),-0.1108
PFA 18:3 (Octadecatrienoic) (gm),Lycopene (mcg),0.2581
Total saturated fatty acids (gm),Lycopene (mcg),0.2031
Mean cell volume (fL),Lycopene (mcg),-0.0418
"Iron, refrigerated serum  (umol/L)",Lycopene (mcg),-0.0714
Eosinophils number (1000 cells/uL),Lycopene (mcg),0.0609
Selenium (mcg),Lycopene (mcg),0.1879
MFA 22:1 (Docosenoic) (gm),Lycopene (mcg),0.1938
Basophils number (1000 cells/uL),Lycopene (mcg),0.0231
PFA 22:6 (Docosahexaenoic) (gm),Lycopene (mcg),0.0299
SFA 4:0 (Butanoic) (gm),Lycopene (mcg),0.1687
White blood cell count (1000 cells/uL),Lycopene (mcg),-0.0028
Eosinophils percent (%),Lycopene (mcg),0.0614
Phosphorus (mmol/L),Lycopene (mcg),0.0388
Vitamin B12 (mcg),Lycopene (mcg),0.1011
Uric acid (umol/L),Lycopene (mcg),-0.0321
Platelet count (1000 cells/uL),Lycopene (mcg),-0.071
Lymphocyte number (1000 cells/uL),Lycopene (mcg),-0.0244
MFA 18:1 (Octadecenoic) (gm),Lycopene (mcg),0.1732
Glycohemoglobin (%),Lycopene (mcg),0.1093
SFA 12:0 (Dodecanoic) (gm),Lycopene (mcg),0.1194
Monocyte number (1000 cells/uL),Lycopene (mcg),-0.0417
Riboflavin (Vitamin B2) (mg),Lycopene (mcg),0.1333
Creatinine (umol/L),Lycopene (mcg),0.0352
Basophils percent (%),Lycopene (mcg),0.061
Niacin (mg),Lycopene (mcg),0.1562
Sodium (mg),Lycopene (mcg),0.2658
Albumin (g/L),Lycopene (mcg),0.0312
SFA 6:0 (Hexanoic) (gm),Lycopene (mcg),0.1845
Protein (gm),Lycopene (mcg),0.1733
SFA 10:0 (Decanoic) (gm),Lycopene (mcg),0.1514
"Albumin, urine (mg/L)",Lycopene (mcg),0.0048
Cholesterol (mmol/L),Lycopene (mcg),0.042
PFA 20:5 (Eicosapentaenoic) (gm),Lycopene (mcg),0.1635
Total sugars (gm),Lycopene (mcg),0.0839
Potassium (mg),Lycopene (mcg),0.2242
SFA 8:0 (Octanoic) (gm),Lycopene (mcg),0.132
MFA 16:1 (Hexadecenoic) (gm),Lycopene (mcg),0.1916
Theobromine (mg),Lycopene (mcg),0.0832
"Triglycerides, refrigerated  (mmol/L)",Lycopene (mcg),0.0399
Phosphorus (mg),Lycopene (mcg),0.1976
SFA 14:0 (Tetradecanoic) (gm),Lycopene (mcg),0.1979
Globulin (g/L),Lycopene (mcg),-0.0585
Total monounsaturated fatty acids (gm),Lycopene (mcg),0.1928
Sodium (mmol/L),Lycopene (mcg),0.0062
Total fat (gm),Lycopene (mcg),0.2106
Red blood cell count (million cells/uL),Lycopene (mcg),-0.0111
Vitamin B6 (mg),Lycopene (mcg),0.12
MFA 20:1 (Eicosenoic) (gm),Lycopene (mcg),0.2081
Vitamin K (mcg),Lycopene (mcg),0.2641
PFA 22:5 (Docosapentaenoic) (gm),Lycopene (mcg),0.1914
SFA 16:0 (Hexadecanoic) (gm),Lycopene (mcg),0.2087
SFA 18:0 (Octadecanoic) (gm),Lycopene (mcg),0.1955
Red cell distribution width (%),Lycopene (mcg),0.1027
Mean cell hemoglobin (pg),Lycopene (mcg),-0.0409
"Vitamin A, RAE (mcg)",Lycopene (mcg),0.1735
Osmolality (mmol/Kg),Lycopene (mcg),0.0049
Gamma glutamyl transferase (U/L),Lycopene (mcg),0.0366
PFA 18:2 (Octadecadienoic) (gm),Lycopene (mcg),0.2297
Segmented neutrophils percent (%),Lycopene (mcg),0.0489
Aspartate aminotransferase AST (U/L),Lycopene (mcg),0.025
Hemoglobin (g/dL),Lycopene (mcg),-0.0415
Monocyte percent (%),Lycopene (mcg),-0.0445
Alkaline phosphatase (IU/L),Lycopene (mcg),-0.0076
PFA 20:4 (Eicosatetraenoic) (gm),Lycopene (mcg),0.1316
Lactate dehydrogenase (U/L),Lycopene (mcg),-0.0025
Bicarbonate (mmol/L),Lycopene (mcg),0.0285
Potassium (mmol/L),Lycopene (mcg),0.0543
Thiamin (Vitamin B1) (mg),Lycopene (mcg),0.2282
Vitamin C (mg),Lycopene (mcg),0.2115
Total protein (g/L),Lycopene (mcg),-0.0383
Segmented neutrophils num (1000 cell/uL),Lutein + zeaxanthin (mcg),-0.0069
Eosinophils percent (%),Lutein + zeaxanthin (mcg),0.0206
SFA 18:0 (Octadecanoic) (gm),Lutein + zeaxanthin (mcg),0.227
PFA 22:5 (Docosapentaenoic) (gm),Lutein + zeaxanthin (mcg),0.22
Chloride (mmol/L),Lutein + zeaxanthin (mcg),-0.116
PFA 18:2 (Octadecadienoic) (gm),Lutein + zeaxanthin (mcg),0.3298
Zinc (mg),Lutein + zeaxanthin (mcg),0.3445
Osmolality (mmol/Kg),Lutein + zeaxanthin (mcg),-0.012
Total fat (gm),Lutein + zeaxanthin (mcg),0.2978
Hematocrit (%),Lutein + zeaxanthin (mcg),0.0919
Potassium (mg),Lutein + zeaxanthin (mcg),0.4656
Albumin (g/L),Lutein + zeaxanthin (mcg),0.1479
Mean platelet volume (fL),Lutein + zeaxanthin (mcg),-0.0578
Phosphorus (mg),Lutein + zeaxanthin (mcg),0.3672
Riboflavin (Vitamin B2) (mg),Lutein + zeaxanthin (mcg),0.3917
"Vitamin A, RAE (mcg)",Lutein + zeaxanthin (mcg),0.3916
PFA 18:4 (Octadecatetraenoic) (gm),Lutein + zeaxanthin (mcg),-0.0163
SFA 6:0 (Hexanoic) (gm),Lutein + zeaxanthin (mcg),0.1758
Globulin (g/L),Lutein + zeaxanthin (mcg),-0.0193
Hemoglobin (g/dL),Lutein + zeaxanthin (mcg),0.0853
Total protein (g/L),Lutein + zeaxanthin (mcg),0.0834
PFA 20:5 (Eicosapentaenoic) (gm),Lutein + zeaxanthin (mcg),0.1862
Monocyte percent (%),Lutein + zeaxanthin (mcg),-0.0097
Basophils percent (%),Lutein + zeaxanthin (mcg),0.0513
PFA 20:4 (Eicosatetraenoic) (gm),Lutein + zeaxanthin (mcg),0.2658
Monocyte number (1000 cells/uL),Lutein + zeaxanthin (mcg),-0.0273
MFA 18:1 (Octadecenoic) (gm),Lutein + zeaxanthin (mcg),0.2745
Total polyunsaturated fatty acids (gm),Lutein + zeaxanthin (mcg),0.3358
SFA 12:0 (Dodecanoic) (gm),Lutein + zeaxanthin (mcg),0.1142
"Cotinine, Serum (ng/mL)",Lutein + zeaxanthin (mcg),-0.1504
Vitamin B6 (mg),Lutein + zeaxanthin (mcg),0.4147
SFA 4:0 (Butanoic) (gm),Lutein + zeaxanthin (mcg),0.2006
Potassium (mmol/L),Lutein + zeaxanthin (mcg),0.1221
Creatinine (umol/L),Lutein + zeaxanthin (mcg),-0.007
Selenium (mcg),Lutein + zeaxanthin (mcg),0.3387
Thiamin (Vitamin B1) (mg),Lutein + zeaxanthin (mcg),0.318
SFA 10:0 (Decanoic) (gm),Lutein + zeaxanthin (mcg),0.1858
Glycohemoglobin (%),Lutein + zeaxanthin (mcg),-0.0072
Gamma glutamyl transferase (U/L),Lutein + zeaxanthin (mcg),0.0444
Alanine aminotransferase ALT (U/L),Lutein + zeaxanthin (mcg),0.1218
Aspartate aminotransferase AST (U/L),Lutein + zeaxanthin (mcg),0.1507
Mean cell volume (fL),Lutein + zeaxanthin (mcg),4e-04
Vitamin K (mcg),Lutein + zeaxanthin (mcg),0.6481
SFA 16:0 (Hexadecanoic) (gm),Lutein + zeaxanthin (mcg),0.2808
"Iron, refrigerated serum  (umol/L)",Lutein + zeaxanthin (mcg),0.0408
Platelet count (1000 cells/uL),Lutein + zeaxanthin (mcg),-0.0668
SFA 14:0 (Tetradecanoic) (gm),Lutein + zeaxanthin (mcg),0.1955
MFA 16:1 (Hexadecenoic) (gm),Lutein + zeaxanthin (mcg),0.2205
MFA 20:1 (Eicosenoic) (gm),Lutein + zeaxanthin (mcg),0.233
Magnesium (mg),Lutein + zeaxanthin (mcg),0.4586
Vitamin C (mg),Lutein + zeaxanthin (mcg),0.4125
"Albumin, urine (mg/L)",Lutein + zeaxanthin (mcg),-0.1138
Basophils number (1000 cells/uL),Lutein + zeaxanthin (mcg),-0.0075
Sodium (mg),Lutein + zeaxanthin (mcg),0.4029
Bicarbonate (mmol/L),Lutein + zeaxanthin (mcg),0.1077
Red cell distribution width (%),Lutein + zeaxanthin (mcg),0.0358
Cholesterol (mmol/L),Lutein + zeaxanthin (mcg),0.0481
Blood urea nitrogen (mmol/L),Lutein + zeaxanthin (mcg),0.0908
Protein (gm),Lutein + zeaxanthin (mcg),0.3531
Lactate dehydrogenase (U/L),Lutein + zeaxanthin (mcg),0.072
Uric acid (umol/L),Lutein + zeaxanthin (mcg),0.0045
Theobromine (mg),Lutein + zeaxanthin (mcg),0.1048
Total sugars (gm),Lutein + zeaxanthin (mcg),0.1001
White blood cell count (1000 cells/uL),Lutein + zeaxanthin (mcg),-0.009
PFA 22:6 (Docosahexaenoic) (gm),Lutein + zeaxanthin (mcg),0.2697
Total monounsaturated fatty acids (gm),Lutein + zeaxanthin (mcg),0.2778
"Triglycerides, refrigerated  (mmol/L)",Lutein + zeaxanthin (mcg),0.0581
Lymphocyte number (1000 cells/uL),Lutein + zeaxanthin (mcg),0.0201
"Glucose, refrigerated serum (mmol/L)",Lutein + zeaxanthin (mcg),-0.0315
Retinol (mcg),Lutein + zeaxanthin (mcg),0.2584
Phosphorus (mmol/L),Lutein + zeaxanthin (mcg),0.0897
MFA 22:1 (Docosenoic) (gm),Lutein + zeaxanthin (mcg),0.0627
Total bilirubin (umol/L),Lutein + zeaxanthin (mcg),0.0101
PFA 18:3 (Octadecatrienoic) (gm),Lutein + zeaxanthin (mcg),0.3158
Mean cell hemoglobin (pg),Lutein + zeaxanthin (mcg),0.0046
Moisture (gm),Lutein + zeaxanthin (mcg),0.2682
Vitamin B12 (mcg),Lutein + zeaxanthin (mcg),0.2074
Total calcium (mmol/L),Lutein + zeaxanthin (mcg),0.1303
Sodium (mmol/L),Lutein + zeaxanthin (mcg),-0.043
Segmented neutrophils percent (%),Lutein + zeaxanthin (mcg),-0.0058
SFA 8:0 (Octanoic) (gm),Lutein + zeaxanthin (mcg),0.1382
Eosinophils number (1000 cells/uL),Lutein + zeaxanthin (mcg),0.058
Niacin (mg),Lutein + zeaxanthin (mcg),0.3402
Total saturated fatty acids (gm),Lutein + zeaxanthin (mcg),0.2535
Red blood cell count (million cells/uL),Lutein + zeaxanthin (mcg),0.0889
Lymphocyte percent (%),Lutein + zeaxanthin (mcg),0.03
Alkaline phosphatase (IU/L),Lutein + zeaxanthin (mcg),0.0605
MFA 18:1 (Octadecenoic) (gm),MFA 16:1 (Hexadecenoic) (gm),0.7549
Total protein (g/L),MFA 16:1 (Hexadecenoic) (gm),0.0063
Moisture (gm),MFA 16:1 (Hexadecenoic) (gm),0.2337
"Triglycerides, refrigerated  (mmol/L)",MFA 16:1 (Hexadecenoic) (gm),0.026
Osmolality (mmol/Kg),MFA 16:1 (Hexadecenoic) (gm),0.0606
