var_from,var_to,corr
Monocyte percent (%),Food folate (mcg),0.0179
MFA 16:1 (Hexadecenoic) (gm),Food folate (mcg),0.3675
Hemoglobin (g/dL),Food folate (mcg),0.1613
PFA 18:2 (Octadecadienoic) (gm),Food folate (mcg),0.4704
Alkaline phosphotase (U/L),Food folate (mcg),-0.0078
Globulin (g/L),Food folate (mcg),-0.1089
Iron (mg),Food folate (mcg),0.7229
Osmolality (mmol/Kg),Food folate (mcg),0.0705
PFA 22:5 (Docosapentaenoic) (gm),Food folate (mcg),0.0791
Albumin (g/L),Food folate (mcg),0.1462
Hematocrit (%),Food folate (mcg),0.1635
Cotinine (ng/mL),Food folate (mcg),-0.1065
Riboflavin (Vitamin B2) (mg),Food folate (mcg),0.7266
"Bilirubin, total (umol/L)",Food folate (mcg),0.0484
Protein (gm),Food folate (mcg),0.7042
Vitamin B6 (mg),Food folate (mcg),0.7093
Vitamin C (mg),Food folate (mcg),0.4477
Eosinophils number,Food folate (mcg),0.0271
White blood cell count (1000 cells/uL),Food folate (mcg),0.041
"Glucose, serum (mmol/L)",Food folate (mcg),0.0024
Total monounsaturated fatty acids (gm),Food folate (mcg),0.4638
SFA 14:0 (Tetradecanoic) (gm),Food folate (mcg),0.4626
PFA 18:3 (Octadecatrienoic) (gm),Food folate (mcg),0.4999
"Iron, refigerated (umol/L)",Food folate (mcg),0.0344
MFA 22:1 (Docosenoic) (gm),Food folate (mcg),0.1807
MFA 20:1 (Eicosenoic) (gm),Food folate (mcg),0.366
Retinol (mcg),Food folate (mcg),0.2645
PFA 20:5 (Eicosapentaenoic) (gm),Food folate (mcg),0.1663
Total fat (gm),Food folate (mcg),0.4829
Monocyte number,Food folate (mcg),0.0468
Total saturated fatty acids (gm),Food folate (mcg),0.4894
Segmented neutrophils percent (%),Food folate (mcg),0.0813
Lycopene (mcg),Food folate (mcg),0.2291
Eosinophils percent (%),Food folate (mcg),0.0313
Uric acid (umol/L),Dietary fiber (gm),-0.0347
Mean cell volume (fL),Dietary fiber (gm),0.0328
Phosphorus (mg),Dietary fiber (gm),0.5103
Cotinine (ng/mL),Dietary fiber (gm),-0.1805
Sodium (mmol/L),Dietary fiber (gm),0.0213
Bicarbonate (mmol/L),Dietary fiber (gm),0.025
Selenium (mcg),Dietary fiber (gm),0.4657
Triglycerides (mmol/L),Dietary fiber (gm),-0.0467
Cholesterol (mmol/L),Dietary fiber (gm),-0.0323
Total calcium (mmol/L),Dietary fiber (gm),0.0426
Hematocrit (%),Dietary fiber (gm),0.0308
Basophils number,Dietary fiber (gm),-0.0036
Total monounsaturated fatty acids (gm),Dietary fiber (gm),0.7282
Basophils percent (%),Dietary fiber (gm),-0.0035
Eosinophils number,Dietary fiber (gm),0.0126
Protein (gm),Dietary fiber (gm),0.5215
Moisture (gm),Dietary fiber (gm),0.3188
Retinol (mcg),Dietary fiber (gm),0.3236
Segmented neutrophils percent (%),Dietary fiber (gm),0.033
Osmolality (mmol/Kg),Dietary fiber (gm),0.029
Lactate dehydrogenase LDH (U/L),Dietary fiber (gm),0.0097
MFA 18:1 (Octadecenoic) (gm),Dietary fiber (gm),0.7299
Gamma glutamyl transferase (U/L),Dietary fiber (gm),-0.0021
Lymphocyte number,Dietary fiber (gm),-0.0486
Total Folate (mcg),Dietary fiber (gm),0.5204
PFA 22:6 (Docosahexaenoic) (gm),Dietary fiber (gm),0.1084
Potassium (mg),Dietary fiber (gm),0.5341
MFA 22:1 (Docosenoic) (gm),Dietary fiber (gm),0.1439
Vitamin B12 (mcg),Dietary fiber (gm),0.3196
Monocyte percent (%),Dietary fiber (gm),-0.0098
Lutein + zeaxanthin (mcg),Dietary fiber (gm),0.736
Total sugars (gm),Dietary fiber (gm),0.3916
Total fat (gm),Dietary fiber (gm),0.7451
"Glucose, serum (mmol/L)",Dietary fiber (gm),-0.0766
Niacin (mg),Dietary fiber (gm),0.4391
PFA 20:4 (Eicosatetraenoic) (gm),Dietary fiber (gm),0.1707
"Bilirubin, total (umol/L)",Dietary fiber (gm),0.0292
SFA 16:0 (Hexadecanoic) (gm),Dietary fiber (gm),0.7202
Total polyunsaturated fatty acids (gm),Dietary fiber (gm),0.7054
"Iron, refigerated (umol/L)",Dietary fiber (gm),0.0219
PFA 20:5 (Eicosapentaenoic) (gm),Dietary fiber (gm),0.0997
Platelet count SI (1000 cells/uL),Dietary fiber (gm),-0.0411
PFA 18:3 (Octadecatrienoic) (gm),Dietary fiber (gm),0.6811
Alanine aminotransferase ALT (U/L),Dietary fiber (gm),0.0289
SFA 8:0 (Octanoic) (gm),Dietary fiber (gm),0.2897
Eosinophils percent (%),Dietary fiber (gm),0.0449
Red blood cell count (million cells/uL),Dietary fiber (gm),0.0121
Iron (mg),Dietary fiber (gm),0.5527
Vitamin C (mg),Dietary fiber (gm),0.5361
Vitamin K (mcg),Dietary fiber (gm),0.6854
Blood urea nitrogen (mmol/L),Dietary fiber (gm),0.0596
Globulin (g/L),Dietary fiber (gm),-0.0339
Aspartate aminotransferase AST (U/L),Dietary fiber (gm),0.0656
Total saturated fatty acids (gm),Dietary fiber (gm),0.7146
Sodium (mg),Dietary fiber (gm),0.5421
Potassium (mmol/L),Dietary fiber (gm),0.0403
Glycohemoglobin (%),Dietary fiber (gm),-0.043
Zinc (mg),Dietary fiber (gm),0.5128
Thiamin (Vitamin B1) (mg),Dietary fiber (gm),0.537
Mean platelet volume (fL),Dietary fiber (gm),-0.0206
Theobromine (mg),Dietary fiber (gm),0.1054
Mean cell hemoglobin (pg),Dietary fiber (gm),0.0179
Riboflavin (Vitamin B2) (mg),Dietary fiber (gm),0.4548
Segmented neutrophils number,Dietary fiber (gm),0.0071
Lycopene (mcg),Dietary fiber (gm),0.2012
PFA 18:4 (Octadecatetraenoic) (gm),Dietary fiber (gm),0.0344
White blood cell count (1000 cells/uL),Dietary fiber (gm),-0.0092
PFA 22:5 (Docosapentaenoic) (gm),Dietary fiber (gm),0.0164
MFA 16:1 (Hexadecenoic) (gm),Dietary fiber (gm),0.4766
SFA 6:0 (Hexanoic) (gm),Dietary fiber (gm),0.2958
Red cell distribution width (%),Dietary fiber (gm),-0.0256
Hemoglobin (g/dL),Dietary fiber (gm),0.0235
Chloride (mmol/L),Dietary fiber (gm),-0.0503
Creatinine (umol/L),Dietary fiber (gm),0.0016
Magnesium (mg),Dietary fiber (gm),0.5702
SFA 12:0 (Dodecanoic) (gm),Dietary fiber (gm),0.3778
Monocyte number,Dietary fiber (gm),-0.0158
Alkaline phosphotase (U/L),Dietary fiber (gm),0.027
SFA 18:0 (Octadecanoic) (gm),Dietary fiber (gm),0.7002
Energy (kcal),Dietary fiber (gm),0.5242
Vitamin B6 (mg),Dietary fiber (gm),0.4451
SFA 14:0 (Tetradecanoic) (gm),Dietary fiber (gm),0.5664
Albumin (g/L),Dietary fiber (gm),0.0764
Phosphorus (mmol/L),Dietary fiber (gm),0.0072
SFA 4:0 (Butanoic) (gm),Dietary fiber (gm),0.3105
Lymphocyte percent (%),Dietary fiber (gm),-0.0408
"Albumin, urine (mg/L) SI",Dietary fiber (gm),-0.0418
"Vitamin A, RAE (mcg)",Dietary fiber (gm),0.5909
PFA 18:2 (Octadecadienoic) (gm),Dietary fiber (gm),0.6987
Total protein (g/L),Dietary fiber (gm),0.0276
SFA 10:0 (Decanoic) (gm),Dietary fiber (gm),0.3682
MFA 20:1 (Eicosenoic) (gm),Dietary fiber (gm),0.354
Retinol (mcg),Total Folate (mcg),0.3421
SFA 4:0 (Butanoic) (gm),Total Folate (mcg),0.3665
"Vitamin A, RAE (mcg)",Total Folate (mcg),0.5084
MFA 20:1 (Eicosenoic) (gm),Total Folate (mcg),0.2688
Segmented neutrophils percent (%),Total Folate (mcg),0.086
Lutein + zeaxanthin (mcg),Total Folate (mcg),0.4478
Total sugars (gm),Total Folate (mcg),0.4946
PFA 22:5 (Docosapentaenoic) (gm),Total Folate (mcg),0.0766
Protein (gm),Total Folate (mcg),0.6511
Phosphorus (mmol/L),Total Folate (mcg),0.0155
Total fat (gm),Total Folate (mcg),0.4303
Zinc (mg),Total Folate (mcg),0.7444
Iron (mg),Total Folate (mcg),0.8967
Vitamin K (mcg),Total Folate (mcg),0.4341
Cholesterol (mmol/L),Total Folate (mcg),-0.0634
Niacin (mg),Total Folate (mcg),0.7828
Theobromine (mg),Total Folate (mcg),0.0973
PFA 18:3 (Octadecatrienoic) (gm),Total Folate (mcg),0.431
Hematocrit (%),Total Folate (mcg),0.1386
SFA 12:0 (Dodecanoic) (gm),Total Folate (mcg),0.3846
Total monounsaturated fatty acids (gm),Total Folate (mcg),0.4161
Vitamin B6 (mg),Total Folate (mcg),0.7637
"Albumin, urine (mg/L) SI",Total Folate (mcg),-0.063
Albumin (g/L),Total Folate (mcg),0.1605
Moisture (gm),Total Folate (mcg),0.5401
SFA 8:0 (Octanoic) (gm),Total Folate (mcg),0.3345
PFA 18:4 (Octadecatetraenoic) (gm),Total Folate (mcg),0.0335
SFA 6:0 (Hexanoic) (gm),Total Folate (mcg),0.3463
Uric acid (umol/L),Total Folate (mcg),-0.0038
SFA 16:0 (Hexadecanoic) (gm),Total Folate (mcg),0.4479
Total calcium (mmol/L),Total Folate (mcg),0.0381
Vitamin C (mg),Total Folate (mcg),0.3782
Energy (kcal),Total Folate (mcg),0.735
Hemoglobin (g/dL),Total Folate (mcg),0.1433
Lymphocyte number,Total Folate (mcg),-0.0404
Platelet count SI (1000 cells/uL),Total Folate (mcg),-0.1066
Total saturated fatty acids (gm),Total Folate (mcg),0.448
"Iron, refigerated (umol/L)",Total Folate (mcg),0.0473
Triglycerides (mmol/L),Total Folate (mcg),0.0021
SFA 14:0 (Tetradecanoic) (gm),Total Folate (mcg),0.4512
MFA 16:1 (Hexadecenoic) (gm),Total Folate (mcg),0.3176
PFA 20:5 (Eicosapentaenoic) (gm),Total Folate (mcg),0.1066
Alkaline phosphotase (U/L),Total Folate (mcg),1e-04
Alanine aminotransferase ALT (U/L),Total Folate (mcg),0.0744
Cotinine (ng/mL),Total Folate (mcg),-0.146
Phosphorus (mg),Total Folate (mcg),0.7425
MFA 22:1 (Docosenoic) (gm),Total Folate (mcg),0.1328
Aspartate aminotransferase AST (U/L),Total Folate (mcg),0.0849
Monocyte percent (%),Total Folate (mcg),0.0054
PFA 18:2 (Octadecadienoic) (gm),Total Folate (mcg),0.4028
PFA 20:4 (Eicosatetraenoic) (gm),Total Folate (mcg),0.1303
SFA 10:0 (Decanoic) (gm),Total Folate (mcg),0.3722
Creatinine (umol/L),Total Folate (mcg),0.0772
Lactate dehydrogenase LDH (U/L),Total Folate (mcg),-0.0436
Mean cell volume (fL),Total Folate (mcg),0.1127
Gamma glutamyl transferase (U/L),Total Folate (mcg),0.0254
"Glucose, serum (mmol/L)",Total Folate (mcg),0.0094
Thiamin (Vitamin B1) (mg),Total Folate (mcg),0.9008
Mean platelet volume (fL),Total Folate (mcg),0.0158
Red cell distribution width (%),Total Folate (mcg),-0.1036
Mean cell hemoglobin (pg),Total Folate (mcg),0.1048
Segmented neutrophils number,Total Folate (mcg),0.0684
Magnesium (mg),Total Folate (mcg),0.7821
Total protein (g/L),Total Folate (mcg),0.0336
Monocyte number,Total Folate (mcg),0.0421
Selenium (mcg),Total Folate (mcg),0.7221
Chloride (mmol/L),Total Folate (mcg),-0.0485
MFA 18:1 (Octadecenoic) (gm),Total Folate (mcg),0.4171
Eosinophils percent (%),Total Folate (mcg),0.0351
PFA 22:6 (Docosahexaenoic) (gm),Total Folate (mcg),0.1642
Eosinophils number,Total Folate (mcg),0.0205
Sodium (mmol/L),Total Folate (mcg),0.0161
Total polyunsaturated fatty acids (gm),Total Folate (mcg),0.3995
SFA 18:0 (Octadecanoic) (gm),Total Folate (mcg),0.4258
Lymphocyte percent (%),Total Folate (mcg),-0.0921
White blood cell count (1000 cells/uL),Total Folate (mcg),0.0461
Osmolality (mmol/Kg),Total Folate (mcg),0.0652
Blood urea nitrogen (mmol/L),Total Folate (mcg),0.1466
Glycohemoglobin (%),Total Folate (mcg),-0.099
Bicarbonate (mmol/L),Total Folate (mcg),0.0271
Basophils percent (%),Total Folate (mcg),0.0126
Sodium (mg),Total Folate (mcg),0.6949
Riboflavin (Vitamin B2) (mg),Total Folate (mcg),0.8225
"Bilirubin, total (umol/L)",Total Folate (mcg),0.0708
Potassium (mg),Total Folate (mcg),0.718
Basophils number,Total Folate (mcg),0.009
Vitamin B12 (mcg),Total Folate (mcg),0.4933
Red blood cell count (million cells/uL),Total Folate (mcg),0.0758
Globulin (g/L),Total Folate (mcg),-0.1031
Potassium (mmol/L),Total Folate (mcg),0.0448
Lycopene (mcg),Total Folate (mcg),0.1704
Vitamin C (mg),Iron (mg),0.3656
Sodium (mg),Iron (mg),0.7494
Magnesium (mg),Iron (mg),0.7921
Total monounsaturated fatty acids (gm),Iron (mg),0.5159
Moisture (gm),Iron (mg),0.5798
Cotinine (ng/mL),Iron (mg),-0.1333
Sodium (mmol/L),Iron (mg),0.051
"Glucose, serum (mmol/L)",Iron (mg),0.0025
Platelet count SI (1000 cells/uL),Iron (mg),-0.1063
Uric acid (umol/L),Iron (mg),0.0528
Lutein + zeaxanthin (mcg),Iron (mg),0.4344
SFA 18:0 (Octadecanoic) (gm),Iron (mg),0.5219
Segmented neutrophils percent (%),Iron (mg),0.0688
Red blood cell count (million cells/uL),Iron (mg),0.1224
Albumin (g/L),Iron (mg),0.172
Potassium (mg),Iron (mg),0.7258
Lymphocyte percent (%),Iron (mg),-0.0714
Total sugars (gm),Iron (mg),0.5543
Hematocrit (%),Iron (mg),0.1838
SFA 12:0 (Dodecanoic) (gm),Iron (mg),0.3728
White blood cell count (1000 cells/uL),Iron (mg),0.0393
"Albumin, urine (mg/L) SI",Iron (mg),-0.0641
Blood urea nitrogen (mmol/L),Iron (mg),0.1425
Basophils number,Iron (mg),-0.0069
Total polyunsaturated fatty acids (gm),Iron (mg),0.4536
Eosinophils percent (%),Iron (mg),0.0265
SFA 10:0 (Decanoic) (gm),Iron (mg),0.3482
Theobromine (mg),Iron (mg),0.1137
Selenium (mcg),Iron (mg),0.7392
PFA 22:5 (Docosapentaenoic) (gm),Iron (mg),0.0906
PFA 22:6 (Docosahexaenoic) (gm),Iron (mg),0.1791
PFA 18:2 (Octadecadienoic) (gm),Iron (mg),0.452
Creatinine (umol/L),Iron (mg),0.124
Hemoglobin (g/dL),Iron (mg),0.1848
SFA 4:0 (Butanoic) (gm),Iron (mg),0.3363
Thiamin (Vitamin B1) (mg),Iron (mg),0.8794
Vitamin B6 (mg),Iron (mg),0.8073
Globulin (g/L),Iron (mg),-0.0846
Eosinophils number,Iron (mg),0.0246
PFA 18:3 (Octadecatrienoic) (gm),Iron (mg),0.4881
Total fat (gm),Iron (mg),0.5156
Riboflavin (Vitamin B2) (mg),Iron (mg),0.8111
SFA 16:0 (Hexadecanoic) (gm),Iron (mg),0.5295
Total calcium (mmol/L),Iron (mg),0.0359
Mean cell volume (fL),Iron (mg),0.1124
"Vitamin A, RAE (mcg)",Iron (mg),0.5174
Glycohemoglobin (%),Iron (mg),-0.073
Segmented neutrophils number,Iron (mg),0.0558
Gamma glutamyl transferase (U/L),Iron (mg),0.0586
Niacin (mg),Iron (mg),0.8427
Alanine aminotransferase ALT (U/L),Iron (mg),0.108
Osmolality (mmol/Kg),Iron (mg),0.0931
SFA 14:0 (Tetradecanoic) (gm),Iron (mg),0.488
Mean cell hemoglobin (pg),Iron (mg),0.0988
MFA 20:1 (Eicosenoic) (gm),Iron (mg),0.3307
Alkaline phosphotase (U/L),Iron (mg),0.0276
Cholesterol (mmol/L),Iron (mg),-0.0799
Phosphorus (mg),Iron (mg),0.7638
Total protein (g/L),Iron (mg),0.0571
Red cell distribution width (%),Iron (mg),-0.0864
Potassium (mmol/L),Iron (mg),0.0452
Retinol (mcg),Iron (mg),0.3297
SFA 6:0 (Hexanoic) (gm),Iron (mg),0.3174
Phosphorus (mmol/L),Iron (mg),0.0276
Monocyte number,Iron (mg),0.0362
Lymphocyte number,Iron (mg),-0.027
Basophils percent (%),Iron (mg),-0.0174
Chloride (mmol/L),Iron (mg),-0.0447
Monocyte percent (%),Iron (mg),0.0016
MFA 18:1 (Octadecenoic) (gm),Iron (mg),0.5141
MFA 22:1 (Docosenoic) (gm),Iron (mg),0.1615
Mean platelet volume (fL),Iron (mg),0.0286
Protein (gm),Iron (mg),0.7167
Zinc (mg),Iron (mg),0.8244
Aspartate aminotransferase AST (U/L),Iron (mg),0.112
Triglycerides (mmol/L),Iron (mg),-0.0103
"Bilirubin, total (umol/L)",Iron (mg),0.0808
Energy (kcal),Iron (mg),0.7864
Vitamin B12 (mcg),Iron (mg),0.5502
PFA 20:4 (Eicosatetraenoic) (gm),Iron (mg),0.2019
Vitamin K (mcg),Iron (mg),0.4615
PFA 18:4 (Octadecatetraenoic) (gm),Iron (mg),0.0046
Lactate dehydrogenase LDH (U/L),Iron (mg),-0.0069
SFA 8:0 (Octanoic) (gm),Iron (mg),0.3037
Total saturated fatty acids (gm),Iron (mg),0.5256
Lycopene (mcg),Iron (mg),0.1816
Bicarbonate (mmol/L),Iron (mg),0.0497
MFA 16:1 (Hexadecenoic) (gm),Iron (mg),0.4198
PFA 20:5 (Eicosapentaenoic) (gm),Iron (mg),0.1155
"Iron, refigerated (umol/L)",Iron (mg),0.0685
Bicarbonate (mmol/L),Energy (kcal),0.0419
Lymphocyte percent (%),Energy (kcal),-0.0681
SFA 16:0 (Hexadecanoic) (gm),Energy (kcal),0.6516
Globulin (g/L),Energy (kcal),-0.0931
Magnesium (mg),Energy (kcal),0.8622
Segmented neutrophils percent (%),Energy (kcal),0.0509
Chloride (mmol/L),Energy (kcal),-0.0217
Potassium (mg),Energy (kcal),0.8272
"Bilirubin, total (umol/L)",Energy (kcal),0.0608
Sodium (mg),Energy (kcal),0.8655
Phosphorus (mg),Energy (kcal),0.8779
SFA 4:0 (Butanoic) (gm),Energy (kcal),0.3561
MFA 20:1 (Eicosenoic) (gm),Energy (kcal),0.4002
Total calcium (mmol/L),Energy (kcal),0.0604
SFA 18:0 (Octadecanoic) (gm),Energy (kcal),0.6486
Glycohemoglobin (%),Energy (kcal),-0.0706
Hematocrit (%),Energy (kcal),0.1648
PFA 18:4 (Octadecatetraenoic) (gm),Energy (kcal),0.0949
Basophils percent (%),Energy (kcal),-0.044
Lutein + zeaxanthin (mcg),Energy (kcal),0.41
Retinol (mcg),Energy (kcal),0.2966
White blood cell count (1000 cells/uL),Energy (kcal),0.0167
Mean cell volume (fL),Energy (kcal),0.111
Triglycerides (mmol/L),Energy (kcal),-0.0329
SFA 14:0 (Tetradecanoic) (gm),Energy (kcal),0.5596
Zinc (mg),Energy (kcal),0.7773
Lymphocyte number,Energy (kcal),-0.0465
Cotinine (ng/mL),Energy (kcal),-0.0329
Total polyunsaturated fatty acids (gm),Energy (kcal),0.601
Alkaline phosphotase (U/L),Energy (kcal),0.0203
Monocyte number,Energy (kcal),0.0566
Eosinophils percent (%),Energy (kcal),0.0764
PFA 18:2 (Octadecadienoic) (gm),Energy (kcal),0.5969
Theobromine (mg),Energy (kcal),0.1211
SFA 8:0 (Octanoic) (gm),Energy (kcal),0.3134
Albumin (g/L),Energy (kcal),0.1153
Basophils number,Energy (kcal),0.0046
Thiamin (Vitamin B1) (mg),Energy (kcal),0.7733
Aspartate aminotransferase AST (U/L),Energy (kcal),0.073
Red cell distribution width (%),Energy (kcal),-0.0532
Lactate dehydrogenase LDH (U/L),Energy (kcal),-0.0305
Cholesterol (mmol/L),Energy (kcal),-0.0787
Mean cell hemoglobin (pg),Energy (kcal),0.088
Alanine aminotransferase ALT (U/L),Energy (kcal),0.0659
Moisture (gm),Energy (kcal),0.7804
Sodium (mmol/L),Energy (kcal),0.0782
Total monounsaturated fatty acids (gm),Energy (kcal),0.6439
"Glucose, serum (mmol/L)",Energy (kcal),-1e-04
Mean platelet volume (fL),Energy (kcal),0.0304
Blood urea nitrogen (mmol/L),Energy (kcal),0.111
Monocyte percent (%),Energy (kcal),0.0457
MFA 16:1 (Hexadecenoic) (gm),Energy (kcal),0.503
Phosphorus (mmol/L),Energy (kcal),0.0132
Lycopene (mcg),Energy (kcal),0.2406
Total protein (g/L),Energy (kcal),0.0047
Platelet count SI (1000 cells/uL),Energy (kcal),-0.1212
PFA 18:3 (Octadecatrienoic) (gm),Energy (kcal),0.6275
"Iron, refigerated (umol/L)",Energy (kcal),0.0149
Riboflavin (Vitamin B2) (mg),Energy (kcal),0.7737
Vitamin B12 (mcg),Energy (kcal),0.4906
Segmented neutrophils number,Energy (kcal),0.033
MFA 18:1 (Octadecenoic) (gm),Energy (kcal),0.6441
Hemoglobin (g/dL),Energy (kcal),0.1604
PFA 20:4 (Eicosatetraenoic) (gm),Energy (kcal),0.2936
"Albumin, urine (mg/L) SI",Energy (kcal),-0.0606
PFA 22:5 (Docosapentaenoic) (gm),Energy (kcal),0.0986
Eosinophils number,Energy (kcal),0.0251
PFA 22:6 (Docosahexaenoic) (gm),Energy (kcal),0.206
Osmolality (mmol/Kg),Energy (kcal),0.1073
Red blood cell count (million cells/uL),Energy (kcal),0.1039
PFA 20:5 (Eicosapentaenoic) (gm),Energy (kcal),0.1873
Protein (gm),Energy (kcal),0.8087
Niacin (mg),Energy (kcal),0.7971
Total saturated fatty acids (gm),Energy (kcal),0.6423
Total sugars (gm),Energy (kcal),0.7605
Potassium (mmol/L),Energy (kcal),0.0672
"Vitamin A, RAE (mcg)",Energy (kcal),0.4421
SFA 12:0 (Dodecanoic) (gm),Energy (kcal),0.4022
SFA 6:0 (Hexanoic) (gm),Energy (kcal),0.3583
Uric acid (umol/L),Energy (kcal),0.0608
Creatinine (umol/L),Energy (kcal),0.1528
Total fat (gm),Energy (kcal),0.6437
Vitamin B6 (mg),Energy (kcal),0.7002
MFA 22:1 (Docosenoic) (gm),Energy (kcal),0.2068
Vitamin C (mg),Energy (kcal),0.3645
SFA 10:0 (Decanoic) (gm),Energy (kcal),0.3602
Selenium (mcg),Energy (kcal),0.8161
Vitamin K (mcg),Energy (kcal),0.5505
Gamma glutamyl transferase (U/L),Energy (kcal),0.061
"Glucose, serum (mmol/L)",Lycopene (mcg),-8e-04
Magnesium (mg),Lycopene (mcg),0.1914
Hematocrit (%),Lycopene (mcg),0.0234
Segmented neutrophils number,Lycopene (mcg),-0.0067
Zinc (mg),Lycopene (mcg),0.241
Total calcium (mmol/L),Lycopene (mcg),0.0728
Retinol (mcg),Lycopene (mcg),0.0323
Lutein + zeaxanthin (mcg),Lycopene (mcg),0.1259
Chloride (mmol/L),Lycopene (mcg),-0.0293
Lymphocyte percent (%),Lycopene (mcg),-0.0381
Alanine aminotransferase ALT (U/L),Lycopene (mcg),0.07
Total polyunsaturated fatty acids (gm),Lycopene (mcg),0.1544
Cotinine (ng/mL),Lycopene (mcg),-0.1109
PFA 18:4 (Octadecatetraenoic) (gm),Lycopene (mcg),0.06
Blood urea nitrogen (mmol/L),Lycopene (mcg),0.0655
Moisture (gm),Lycopene (mcg),0.173
Mean platelet volume (fL),Lycopene (mcg),-0.0298
"Bilirubin, total (umol/L)",Lycopene (mcg),0.0693
PFA 18:3 (Octadecatrienoic) (gm),Lycopene (mcg),0.1774
Total saturated fatty acids (gm),Lycopene (mcg),0.2253
Mean cell volume (fL),Lycopene (mcg),0.0717
"Iron, refigerated (umol/L)",Lycopene (mcg),0.0387
Eosinophils number,Lycopene (mcg),-0.021
Selenium (mcg),Lycopene (mcg),0.2583
MFA 22:1 (Docosenoic) (gm),Lycopene (mcg),0.0357
Basophils number,Lycopene (mcg),-0.0297
PFA 22:6 (Docosahexaenoic) (gm),Lycopene (mcg),0.0381
SFA 4:0 (Butanoic) (gm),Lycopene (mcg),0.1339
White blood cell count (1000 cells/uL),Lycopene (mcg),-0.0222
Eosinophils percent (%),Lycopene (mcg),-0.0517
Phosphorus (mmol/L),Lycopene (mcg),0.0037
Vitamin B12 (mcg),Lycopene (mcg),0.1398
Uric acid (umol/L),Lycopene (mcg),-0.0373
Platelet count SI (1000 cells/uL),Lycopene (mcg),-0.0479
Lymphocyte number,Lycopene (mcg),-0.0572
MFA 18:1 (Octadecenoic) (gm),Lycopene (mcg),0.217
Glycohemoglobin (%),Lycopene (mcg),-0.0644
SFA 12:0 (Dodecanoic) (gm),Lycopene (mcg),0.1311
Monocyte number,Lycopene (mcg),0.0544
Riboflavin (Vitamin B2) (mg),Lycopene (mcg),0.1768
Creatinine (umol/L),Lycopene (mcg),-6e-04
Basophils percent (%),Lycopene (mcg),0.0561
Niacin (mg),Lycopene (mcg),0.2093
Sodium (mg),Lycopene (mcg),0.2903
Albumin (g/L),Lycopene (mcg),0.0832
SFA 6:0 (Hexanoic) (gm),Lycopene (mcg),0.1369
Protein (gm),Lycopene (mcg),0.2511
SFA 10:0 (Decanoic) (gm),Lycopene (mcg),0.1304
"Albumin, urine (mg/L) SI",Lycopene (mcg),-0.0304
Cholesterol (mmol/L),Lycopene (mcg),-0.0228
PFA 20:5 (Eicosapentaenoic) (gm),Lycopene (mcg),-0.0251
Total sugars (gm),Lycopene (mcg),0.1493
Potassium (mg),Lycopene (mcg),0.2395
SFA 8:0 (Octanoic) (gm),Lycopene (mcg),0.0829
MFA 16:1 (Hexadecenoic) (gm),Lycopene (mcg),0.2241
Theobromine (mg),Lycopene (mcg),0.0652
Triglycerides (mmol/L),Lycopene (mcg),-0.087
Phosphorus (mg),Lycopene (mcg),0.2182
SFA 14:0 (Tetradecanoic) (gm),Lycopene (mcg),0.2222
Globulin (g/L),Lycopene (mcg),-0.086
Total monounsaturated fatty acids (gm),Lycopene (mcg),0.2188
Sodium (mmol/L),Lycopene (mcg),0.0346
Total fat (gm),Lycopene (mcg),0.2075
Red blood cell count (million cells/uL),Lycopene (mcg),-0.0201
Vitamin B6 (mg),Lycopene (mcg),0.153
MFA 20:1 (Eicosenoic) (gm),Lycopene (mcg),0.1607
Vitamin K (mcg),Lycopene (mcg),0.211
PFA 22:5 (Docosapentaenoic) (gm),Lycopene (mcg),-0.011
SFA 16:0 (Hexadecanoic) (gm),Lycopene (mcg),0.2312
SFA 18:0 (Octadecanoic) (gm),Lycopene (mcg),0.2451
Red cell distribution width (%),Lycopene (mcg),-0.0443
Mean cell hemoglobin (pg),Lycopene (mcg),0.0738
"Vitamin A, RAE (mcg)",Lycopene (mcg),0.1342
Osmolality (mmol/Kg),Lycopene (mcg),0.0427
Gamma glutamyl transferase (U/L),Lycopene (mcg),0.0056
PFA 18:2 (Octadecadienoic) (gm),Lycopene (mcg),0.1502
Segmented neutrophils percent (%),Lycopene (mcg),0.02
Aspartate aminotransferase AST (U/L),Lycopene (mcg),0.0654
Hemoglobin (g/dL),Lycopene (mcg),0.0306
Monocyte percent (%),Lycopene (mcg),0.0768
Alkaline phosphotase (U/L),Lycopene (mcg),0.0232
PFA 20:4 (Eicosatetraenoic) (gm),Lycopene (mcg),0.2282
Lactate dehydrogenase LDH (U/L),Lycopene (mcg),0.0651
Bicarbonate (mmol/L),Lycopene (mcg),-0.0331
Potassium (mmol/L),Lycopene (mcg),0.0479
Thiamin (Vitamin B1) (mg),Lycopene (mcg),0.1903
Vitamin C (mg),Lycopene (mcg),0.249
Total protein (g/L),Lycopene (mcg),-0.0093
Segmented neutrophils number,Lutein + zeaxanthin (mcg),0.0167
Eosinophils percent (%),Lutein + zeaxanthin (mcg),0.0871
SFA 18:0 (Octadecanoic) (gm),Lutein + zeaxanthin (mcg),0.5192
PFA 22:5 (Docosapentaenoic) (gm),Lutein + zeaxanthin (mcg),0.1153
Chloride (mmol/L),Lutein + zeaxanthin (mcg),-0.0472
